0.39,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.03,0,0
0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.28,0,0,0,0,0,0,0.01,0,0,0,0,0.03,0,0.09
0,0,0,0.44,0,0.04,0,0.01,0,0,0,0,0,0,0,0.01,0
0,0.02,0,0,0.46,0,0,0,0,0,0.01,0.08,0,0,0,0,0
0,0,0,0.1,0,0.47,0,0.05,0,0,0,0,0,0,0,0.02,0
0,0,0,0.01,0,0.01,0.45,0.02,0,0,0,0.01,0.02,0,0,0,0
0,0,0,0.02,0,0.02,0.11,0.36,0,0,0,0.01,0.01,0,0,0,0
0,0.05,0,0,0,0,0,0,0.4,0,0,0.02,0,0,0,0,0
0.01,0,0.01,0,0,0,0,0,0,0.18,0,0,0.01,0.01,0.1,0,0.08
0.02,0,0,0,0,0,0.01,0,0,0.02,0.33,0.01,0,0,0.03,0,0.01
0,0.05,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0
0,0,0,0.01,0,0,0.05,0,0,0.03,0,0.01,0.28,0,0.04,0,0
0.02,0,0,0,0,0,0,0,0,0.05,0,0,0,0.1,0.29,0,0.04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0.01
0,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0.43,0
0,0,0.05,0,0,0,0,0,0,0.01,0,0,0,0,0.08,0,0.31
