0.36,0,0.01,0.02,0.02,0.02,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0
0,0.28,0,0,0,0,0.02,0,0.03,0,0,0,0,0.01,0,0.03,0,0,0,0.01,0
0.01,0,0.27,0.06,0,0,0,0.01,0,0,0.06,0.01,0.01,0,0.01,0,0,0,0,0,0
0.01,0,0.07,0.24,0,0,0,0.04,0,0,0.01,0,0,0,0,0,0,0,0,0,0
0.05,0,0,0.01,0.34,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,0,0.01,0.01,0.02,0.28,0,0.03,0,0,0,0,0,0,0,0,0.01,0,0,0,0
0,0.02,0,0,0,0,0.22,0,0.03,0,0,0.01,0,0.03,0,0.02,0,0.01,0,0.03,0
0.01,0,0.03,0.09,0,0.02,0,0.23,0,0,0,0,0,0,0,0,0.01,0,0,0,0
0,0.04,0,0,0,0,0.03,0,0.23,0,0,0.01,0,0.01,0,0.01,0,0,0,0.01,0
0,0,0,0,0,0,0.01,0,0.01,0.23,0.04,0.03,0,0.03,0,0,0,0.09,0,0.02,0.01
0,0,0.02,0,0,0,0.01,0,0,0,0.31,0.04,0.01,0,0,0,0,0.02,0,0,0
0,0.01,0,0,0,0,0.02,0,0.01,0,0.02,0.26,0.02,0.01,0,0,0,0.04,0,0.03,0
0,0,0,0,0,0,0.01,0,0.01,0,0.01,0.05,0.3,0.01,0.02,0,0,0.01,0,0.01,0
0,0.03,0,0,0,0,0.04,0,0.01,0,0,0.01,0,0.3,0,0.02,0,0.03,0.01,0.02,0.01
0.01,0,0.01,0,0,0,0.01,0,0,0,0.02,0.02,0.07,0,0.25,0,0,0,0,0.01,0
0,0.1,0,0,0,0,0.04,0,0.02,0,0,0.01,0,0.04,0,0.22,0,0.01,0,0.01,0
0.01,0,0.01,0.02,0,0.05,0,0.09,0,0,0,0,0,0,0,0,0.2,0,0,0,0
0,0.01,0,0,0,0,0.02,0,0.01,0.01,0.02,0.08,0.01,0.03,0,0,0,0.25,0,0.04,0
0,0.03,0,0,0,0,0.03,0,0.01,0,0,0.01,0,0.13,0,0.03,0,0.01,0.24,0.01,0.01
0,0.01,0,0,0,0,0.06,0,0.02,0,0,0.05,0.01,0.02,0,0.01,0,0.02,0,0.23,0
0,0.01,0,0,0,0,0.02,0,0.01,0.06,0.01,0.01,0,0.09,0,0,0,0.04,0.02,0.01,0.21
