0.38,0,0,0.12,0,0,0,0,0,0,0.02,0.01,0,0
0,0.37,0,0,0,0,0,0,0,0,0.01,0,0.01,0
0,0,0.35,0.01,0.01,0,0,0.02,0.02,0.03,0,0.03,0,0
0.01,0,0,0.49,0,0.02,0,0,0,0,0,0.02,0,0
0,0,0.09,0.01,0.16,0.01,0,0,0.01,0.05,0,0.01,0,0
0,0,0,0.16,0,0.33,0,0.01,0,0.01,0,0.01,0,0
0,0,0,0.23,0,0.1,0.18,0.01,0,0,0,0.01,0,0
0,0,0.01,0.09,0,0.01,0,0.4,0,0.01,0,0.04,0,0
0,0,0.01,0.01,0,0,0,0,0.23,0,0,0.12,0,0.08
0,0,0.02,0.01,0,0.01,0,0.03,0,0.41,0,0.01,0,0
0.02,0.02,0,0.01,0,0,0,0,0,0,0.42,0,0,0.02
0,0,0.01,0.06,0,0,0,0.02,0.02,0,0,0.43,0,0
0,0.01,0,0,0,0,0,0,0,0,0,0,0.39,0.02
0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,0.31
